match_id,patch,league_name,radiant_name,dire_name,radiant_win,draft_order,draft_teams,draft_is_pick,radiant_players,dire_players
8826950190,60,Dota 2 Space League,FALL VICTIMS,FLYING FORTUNE,False,"Windranger, Void Spirit, Beastmaster, Brewmaster, Visage, Dazzle, Death Prophet, Crystal Maiden, Lich, Venomancer, Snapfire, Sand King, Nature's Prophet, Mirana, Ogre Magi, Pudge, Shadow Fiend, Anti-Mage, Techies, Tinker, Pangolier, Arc Warden, Templar Assassin, Luna","1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","FV.NoRemorse, FV.Trilemma, FV.BenzDance~, FV.Norbert, FV.1Yato1","Ff.ZagZag, Ff.DaemonT, Ff.Duh, Ff.WaitFreestyle, Ff.KoSide"
8826916067,60,Dota 2 Space League,FLYING FORTUNE,FALL VICTIMS,True,"Sand King, Nyx Assassin, Beastmaster, Brewmaster, Venomancer, Dazzle, Death Prophet, Crystal Maiden, Jakiro, Windranger, Visage, Enigma, Tusk, Clockwerk, Ogre Magi, Wraith King, Monkey King, Sniper, Void Spirit, Spectre, Snapfire, Pangolier, Chaos Knight, Ember Spirit","0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","Ff.ZagZag, Ff.DaemonT, Ff.WaitFreestyle, Ff.Duh, Ff.KoSide","FV.NoRemorse, FV.Trilemma, FV.BenzDance~, FV.1Yato1, FV.Norbert"
8826878944,60,Dota 2 Space League,CrimsonSky,HELLBEAR HEROES,True,"Abaddon, Beastmaster, Enigma, Magnus, Nature's Prophet, Pangolier, Techies, Crystal Maiden, Shadow Shaman, Snapfire, Windranger, Void Spirit, Spirit Breaker, Skywrath Mage, Centaur Warrunner, Chaos Knight, Storm Spirit, Earthshaker, Venomancer, Anti-Mage, Visage, Ember Spirit, Shadow Fiend, Dragon Knight","1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","CS.Lemy, CS.Qipik, CS.Nupiq, CS.Vexus, CS.Fijik","HH.Rakinu, HH.Harbinger, HH.Bambula, HH.Chedema, HH.packout"
8826839821,60,Dota 2 Space League,HELLBEAR HEROES,CrimsonSky,False,"Abaddon, Beastmaster, Dawnbreaker, Huskar, Pangolier, Dazzle, Magnus, Chaos Knight, Disruptor, Windranger, Storm Spirit, Void Spirit, Snapfire, Skywrath Mage, Crystal Maiden, Invoker, Wraith King, Lina, Techies, Templar Assassin, Venomancer, Terrorblade, Shadow Fiend, Sven","0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","HH.Rakinu, HH.Chedema, HH.Bambula, HH.Harbinger, HH.packout","CS.Lemy, CS.Qipik, CS.Nupiq, CS.Vexus, CS.Fijik"
8826788734,60,Ultras Dota Pro League  2025-26,Dominion,Eye Gaming,True,"Huskar, Snapfire, Silencer, Ring Master, Shadow Fiend, Treant Protector, Lion, Phoenix, Invoker, Dawnbreaker, Nyx Assassin, Lich, Hoodwink, Pangolier, Tiny, Legion Commander, Ogre Magi, Lifestealer, Faceless Void, Jakiro, Juggernaut, Tusk, Oracle, Templar Assassin","1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","chad, Leocouk, so?, qwaza, Konina","1kxaos, modafinil, eclipse, -shanks, Герман"
8826726482,60,Ultras Dota Pro League  2025-26,Dominion,Eye Gaming,True,"Lion, Silencer, Shadow Fiend, Invoker, Nyx Assassin, Huskar, Snapfire, Dawnbreaker, Rubick, Treant Protector, Ring Master, Ember Spirit, Tusk, Phoenix, Ogre Magi, Pangolier, Faceless Void, Necrophos, Doom, Storm Spirit, Timbersaw, Luna, Phantom Assassin, Queen of Pain","0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","Konina, so?, qwaza, chad, Leocouk","-shanks, modafinil, 1kxaos, Герман, eclipse"
8826691962,60,BLAST SLAM VII,Team Spirit,BB,False,"Slardar, Pangolier, Lone Druid, Clockwerk, Shadow Fiend, Beastmaster, Puck, Snapfire, Queen of Pain, Alchemist, Treant Protector, Kez, Hoodwink, Keeper of the Light, Bane, Largo, Ring Master, Lycan, Naga Siren, Faceless Void, Bristleback, Tiny, Lifestealer, Terrorblade","1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","Yatoro, rue, Larl, not_me, Collapse","Kiritych~, gpk~, MieRo, Save-, Kataomi`"
8826656828,60,Ultras Dota Pro League  2025-26,Eye Gaming,Dominion,True,"Huskar, Shadow Fiend, Dawnbreaker, Storm Spirit, Invoker, Silencer, Rubick, Snapfire, Pangolier, Phoenix, Hoodwink, Night Stalker, Nyx Assassin, Treant Protector, Kunkka, Ursa, Lich, Drow Ranger, Tidehunter, Doom, Mars, Viper, Razor, Necrophos","0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","Герман, modafinil, eclipse, -shanks, 1kxaos","chad, so?, Leocouk, qwaza, Konina"
8826631538,60,BLAST SLAM VII,Tundra Esports,Team Liquid,True,"Puck, Storm Spirit, Lone Druid, Invoker, Shadow Fiend, Clockwerk, Snapfire, Doom, Centaur Warrunner, Tiny, Witch Doctor, Lion, Hoodwink, Bane, Keeper of the Light, Treant Protector, Drow Ranger, Ember Spirit, Huskar, Kez, Monkey King, Ursa, Largo, Bristleback","0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","33, Ari, Whitemon, bzm, Pure","tOfu, Ace ♠, Nisha, Boxi, m1CKe"
8826591758,60,BLAST SLAM VII,PARIVISION,Team Yandex,False,"Io, Viper, Hoodwink, Bane, Kez, Enigma, Treant Protector, Lone Druid, Keeper of the Light, Beastmaster, Shadow Fiend, Pangolier, Clockwerk, Slardar, Lich, Necrophos, Timbersaw, Phoenix, Huskar, Nyx Assassin, Sniper, Tusk, Rubick, Storm Spirit","1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0","False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True","Satanic, Noticed, No[o]ne-, 9Class, Dukalis","医者watson`, CHIRA_JUNIOR, DM, Maladych, Saksa"
